insolation,Temperature_MAX,Relative_Humidity,Precipitation,Specific_Humidity
3.09,29.71,87.86,18.55,20.25
0.95,28.56,89.56,24.58,19.99
5.03,30.43,84.61,4.38,19.61
5.38,31.77,80.78,0.77,19.41
6.17,31.12,84.25,2.52,20.48
3.05,29.61,87.65,7.17,20.67
3.11,29.58,88.01,30.62,20.43
4.06,29.04,88.73,22.14,20.29
3.67,29.43,89.68,29.19,20.82
2.16,29.77,87.38,28.97,20.76
0.91,30.97,87.4,36.84,20.82
1.25,29.39,87.98,21.35,20.61
1.38,30.47,88.43,15.71,21.41
2.46,30.97,85.88,4.98,21.07
3.03,30.14,88.03,15.47,20.73
2.38,28.33,91.5,24.38,20.54
1.41,28.97,89.92,10.61,20.59
2.28,30.93,87.24,8.06,20.9
4.31,30.68,86.75,3.35,20.97
4.49,31.3,85.4,2.72,21.02
4.64,30.51,87.74,6.02,21.52
2.85,30.03,89.32,10.61,21.53
2.6,29.22,90.01,46.1,20.75
2.42,29.41,89.37,24.14,20.02
3.07,31.68,81.79,2.61,19.66
6.19,32.29,80.83,0.79,20.06
6.07,32.08,80.68,0.35,20.24
4.3,30.81,83.97,2.64,20.11
3.26,29.3,87.77,17.5,20.18
5.75,29.26,87.33,4.75,19.81
4.9,31.43,81.92,6.8,20.05
4.5,31.65,84.13,10.76,20.76
3.83,30.0,88.45,5.17,20.63
5.6,30.57,87.71,4.37,20.81
5.72,30.26,88.08,0.86,20.79
5.82,30.86,84.79,0.41,20.19
5.65,30.5,86.26,1.91,20.76
2.57,30.86,85.76,5.58,20.58
3.2,29.66,89.11,6.46,20.71
2.33,29.84,90.02,4.37,21.21
2.94,29.48,88.79,17.55,20.61
1.26,29.07,90.49,27.37,20.37
1.47,27.92,90.67,12.17,19.67
2.84,31.15,84.06,4.58,19.44
2.29,30.94,83.79,1.18,19.46
2.83,30.1,85.63,3.01,19.73
4.29,31.06,86.75,2.02,20.65
5.17,30.82,87.3,4.78,20.8
4.31,30.86,87.81,4.96,20.95
1.2,29.37,90.24,10.75,20.99
2.52,29.87,89.44,8.29,20.55
4.04,30.13,88.72,9.68,20.37
3.51,30.0,88.51,3.66,20.47
4.31,29.59,88.21,4.59,20.56
3.53,29.43,89.0,10.37,20.53
4.84,30.51,86.79,5.14,20.4
5.45,31.0,85.21,0.48,20.44
5.72,31.14,84.5,0.44,20.29
4.29,29.34,90.83,6.17,20.77
3.37,29.64,89.32,12.19,20.62
3.14,29.52,89.74,13.96,20.47
2.85,28.73,91.42,17.74,20.63
4.35,29.46,90.45,9.28,20.94
3.54,29.65,90.22,6.47,20.82
3.82,29.36,90.45,20.75,20.96
2.56,29.15,91.24,19.97,20.82
3.06,29.7,87.92,5.97,19.95
4.09,29.7,89.53,10.21,20.23
3.96,29.42,89.22,6.69,20.16
4.46,30.01,83.92,1.92,19.2
5.55,30.78,83.58,0.33,19.38
5.39,31.48,83.22,2.76,20.15
5.57,29.81,88.27,7.86,20.64
2.92,28.96,86.61,23.61,19.59
2.89,29.69,88.13,9.36,19.75
2.94,30.08,86.08,2.49,19.78
4.26,29.05,89.03,4.13,20.2
3.1,30.74,84.98,8.24,20.09
5.13,30.38,83.57,2.73,18.92
5.77,31.43,78.93,1.28,17.5
5.83,30.82,69.46,0.0,15.13
5.44,30.26,71.06,0.0,14.87
5.79,29.44,68.83,0.0,13.82
5.75,29.17,70.34,0.0,13.96
5.69,29.73,74.97,0.0,15.29
5.48,29.88,77.81,0.0,16.18
5.66,30.26,76.27,0.0,15.99
5.52,29.82,72.78,0.0,14.71
5.68,29.48,72.32,0.0,13.95
4.95,29.23,74.55,0.0,14.29
5.54,29.1,74.62,0.0,13.51
3.79,28.72,77.58,0.0,13.7
5.39,27.61,78.19,0.0,13.53
4.8,28.58,81.54,4.36,14.42
4.22,29.62,87.01,6.15,17.93
3.8,29.24,84.97,0.25,17.81
3.89,29.28,85.02,0.13,17.78
5.23,29.1,85.06,0.01,17.33
5.14,29.13,83.8,0.04,16.48
4.74,29.32,86.78,0.03,17.68
4.96,29.37,84.94,0.07,17.36
1.93,28.14,88.89,5.23,17.51
1.81,26.59,90.38,15.34,17.03
3.24,25.29,92.36,43.6,16.74
5.07,27.79,81.02,0.02,14.34
4.78,27.24,78.37,0.0,12.61
5.24,26.73,74.93,0.0,11.63
5.03,26.32,72.1,0.0,10.94
4.95,24.99,72.18,0.0,10.54
5.05,26.37,72.13,0.0,11.29
4.87,26.82,70.61,0.0,11.69
4.77,27.01,75.61,0.0,12.86
4.48,27.58,80.63,0.0,14.34
4.34,27.8,83.82,0.0,15.22
4.6,26.83,78.43,0.0,13.37
4.89,25.89,72.25,0.0,10.83
4.91,25.49,70.21,0.0,10.28
4.8,25.54,71.31,0.0,10.54
4.82,26.32,69.63,0.0,10.71
4.61,25.94,74.89,0.0,11.03
4.8,26.02,73.27,0.0,10.6
4.65,25.63,70.1,0.0,10.01
4.72,25.86,70.74,0.0,10.11
4.74,26.05,70.79,0.0,10.16
4.64,25.94,74.95,0.0,10.57
4.65,26.48,79.0,0.0,11.3
4.48,26.54,78.5,0.0,11.52
4.54,26.88,72.19,0.0,11.02
4.19,26.39,76.8,0.0,11.88
3.35,25.55,87.33,0.0,13.64
3.4,25.95,88.96,0.0,14.55
4.09,27.09,83.85,0.0,14.15
4.39,26.44,79.38,0.0,12.66
4.41,26.15,76.14,0.0,11.72
4.5,25.43,73.09,0.0,10.55
4.48,25.33,73.2,0.0,10.52
4.43,25.71,76.49,0.0,11.24
4.33,25.21,72.55,0.0,10.25
4.34,24.51,75.21,0.0,10.07
3.58,24.21,76.26,0.0,10.52
4.16,25.26,72.49,0.0,10.76
4.18,25.61,69.75,0.0,10.22
4.12,25.56,71.2,0.0,10.75
4.21,25.67,62.13,0.0,8.99
4.36,24.27,64.02,0.0,8.47
4.36,24.74,65.71,0.0,8.73
4.31,24.59,66.58,0.0,8.73
4.38,24.56,65.19,0.0,8.82
4.4,24.59,64.19,0.0,8.34
4.44,24.95,64.25,0.0,8.16
4.43,24.75,62.79,0.0,8.14
4.17,24.26,59.14,0.0,7.71
4.35,24.86,63.4,0.0,8.65
4.19,25.13,69.27,0.0,10.02
4.33,26.28,69.7,0.0,10.38
4.27,25.44,76.85,0.0,10.38
4.03,24.51,78.83,0.0,10.96
4.3,25.18,75.95,0.0,10.82
3.96,25.4,75.96,0.0,11.16
4.11,25.77,79.58,0.0,12.02
3.94,26.17,77.15,0.0,12.07
3.97,26.16,75.81,0.11,11.88
3.92,25.71,72.94,0.25,11.6
4.24,26.09,68.49,0.02,10.63
4.47,26.26,60.6,0.0,9.21
4.51,26.34,56.71,0.0,8.48
4.52,26.15,57.14,0.0,8.34
4.53,26.64,59.02,0.0,8.84
4.52,27.04,60.08,0.0,9.27
4.3,26.98,72.85,0.0,11.26
4.18,25.11,72.46,0.0,11.13
4.23,24.45,74.28,0.0,10.7
4.45,24.05,72.38,0.0,9.66
4.59,24.29,65.7,0.0,8.78
4.64,24.56,55.16,0.0,7.36
4.75,26.46,50.24,0.0,6.91
4.57,26.99,52.06,0.0,7.53
4.66,27.65,61.42,0.0,9.39
4.77,27.42,62.37,0.0,9.07
4.77,28.41,59.14,0.0,8.82
4.81,28.76,60.77,0.0,9.34
4.72,29.12,54.05,0.0,8.4
4.85,29.1,53.38,0.0,8.53
4.85,28.35,57.79,0.0,8.96
4.95,28.72,62.6,0.0,9.83
4.86,28.41,62.14,0.0,9.76
1.55,28.71,62.0,0.01,10.26
4.93,29.75,61.27,0.0,10.42
4.99,28.0,64.95,0.01,10.33
5.04,28.88,62.09,0.0,10.1
5.03,29.26,65.08,0.0,10.98
4.93,29.36,68.61,0.0,11.78
4.46,28.6,71.38,0.0,12.38
4.72,27.93,70.09,0.0,11.84
5.18,28.27,65.57,0.0,10.82
5.22,29.41,63.24,0.0,10.85
5.36,31.45,57.85,0.0,10.48
5.31,31.89,51.56,0.0,9.46
5.39,31.34,61.43,0.0,11.21
5.3,31.55,61.63,0.0,11.61
5.35,31.4,64.18,0.0,11.99
5.28,30.79,65.77,0.0,12.1
5.27,30.63,63.14,0.0,11.6
5.35,30.31,57.91,0.0,10.49
5.34,30.88,57.99,0.0,10.57
5.46,31.47,55.07,0.0,10.48
5.48,31.58,53.27,0.0,10.39
5.56,31.43,58.6,0.0,11.33
5.53,31.61,63.43,0.0,12.39
5.56,32.12,65.12,0.0,13.07
5.77,34.43,51.29,0.0,10.86
5.7,34.09,62.64,0.0,13.32
5.67,34.02,67.79,0.0,14.94
5.68,34.5,64.2,0.0,14.55
5.44,33.2,63.47,0.0,13.91
6.03,33.04,41.67,0.0,8.43
6.1,33.84,41.5,0.0,8.17
5.93,33.75,58.12,0.0,12.02
5.9,33.68,59.16,0.0,12.7
5.92,34.86,53.96,0.0,11.96
5.96,34.4,51.68,0.0,11.4
6.02,35.66,46.35,0.0,10.53
5.81,34.79,51.75,0.0,11.5
5.87,35.65,63.36,0.1,15.24
5.47,34.89,60.9,0.61,15.0
4.02,33.33,66.66,7.23,15.71
3.59,31.22,76.26,15.21,17.01
4.63,32.32,74.66,10.47,17.08
4.61,33.72,70.24,10.99,16.65
3.45,32.54,74.67,11.74,17.47
6.12,33.96,59.68,2.54,13.99
6.16,31.84,59.7,0.0,12.13
6.02,31.77,57.11,0.0,11.54
5.73,32.43,57.05,0.0,12.07
6.24,33.39,56.65,0.0,12.3
6.27,34.23,58.08,0.05,13.0
6.09,34.46,63.02,0.65,15.32
5.96,34.05,67.0,1.29,15.77
6.22,32.34,66.39,1.81,15.23
6.44,33.97,54.36,0.01,12.33
6.58,35.85,50.61,0.0,11.78
6.55,36.78,55.81,0.0,13.66
6.5,37.42,56.59,0.0,14.52
6.41,36.2,61.56,0.0,15.47
6.38,36.19,63.67,0.0,16.12
6.39,35.75,65.01,0.0,16.33
6.48,38.19,58.57,0.0,15.63
6.51,37.85,59.21,0.0,15.75
6.59,38.13,60.38,0.0,16.18
6.46,36.94,66.44,0.0,17.51
6.58,37.8,64.48,0.05,17.22
